"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-5.224984199E-1,4.019507602E-1,5.025541520E-1,8.289328610E-1
9.928000160E-3,-8.072168916E-1,7.119099078E-1,6.972015291E-1,1.282382470E0
1.985500008E-2,-1.032530576E0,7.953341800E-1,7.813406235E-1,1.519595018E0
2.978300001E-2,-8.466736105E-1,4.920905596E-1,5.562415320E-1,1.126238857E0
3.971000016E-2,-7.595489278E-1,5.105861798E-1,3.675898898E-1,9.862733636E-1
4.963800008E-2,-6.263481858E-1,7.019877675E-1,2.120551229E-1,9.643994249E-1
5.956500000E-2,-4.816778380E-1,8.332472339E-1,1.709760940E-1,9.775210060E-1
6.949300016E-2,-5.600717506E-1,9.079345965E-1,2.235396391E-1,1.089952094E0
7.942100009E-2,-8.372367892E-1,8.587255991E-1,4.815743423E-1,1.292396589E0
8.934800001E-2,-9.634103474E-1,8.557221767E-1,6.372892034E-1,1.437552597E0
9.927600017E-2,-7.445793249E-1,7.025602099E-1,3.717291337E-1,1.089115131E0
1.092030001E-1,-3.574838546E-1,6.709513316E-1,1.343807101E-2,7.603623987E-1
1.191310000E-1,1.047283101E-1,3.109859186E-1,-1.184979182E-1,3.488868257E-1
1.290580002E-1,3.942808212E-1,-2.147474733E-1,6.654277593E-1,8.027253242E-1
1.389860001E-1,1.213227081E0,5.942583740E-2,4.896177721E-1,1.309647641E0
1.489140000E-1,1.026569486E0,6.115953684E-2,-8.458687413E-1,1.331570248E0
1.588410002E-1,5.063142040E-1,1.536733058E-1,-1.134648689E0,1.251957350E0
1.687690001E-1,7.198086190E-1,3.222271907E-1,-1.323257062E0,1.540442814E0
1.786960000E-1,5.079771522E-1,5.189393659E-1,-1.706329794E0,1.854427194E0
1.886240002E-1,7.237730312E-1,6.045692079E-1,-2.016433368E0,2.226062635E0
1.985510001E-1,1.418053291E0,7.389233132E-1,-1.439954038E0,2.151824907E0
2.084790000E-1,1.699457415E0,1.322485376E0,-1.216091632E0,2.473055182E0
2.184070002E-1,1.316132230E0,2.043201629E0,-1.536481628E0,2.875352628E0
2.283340001E-1,1.928563750E-1,1.649428784E0,-2.348476864E0,2.876308828E0
2.382620000E-1,-1.090391260E0,-7.660291046E-3,-1.885189689E0,2.177831936E0
2.481890002E-1,-1.533157486E0,-1.082160573E0,-1.003841797E0,2.128225020E0
2.581170001E-1,-1.114635570E0,-6.384551382E-1,-1.204455088E0,1.760894511E0
